query_id,serp_rank,doc_id,clicked
45,1,427,1
45,2,423,0
45,3,432,0
45,4,424,0
45,5,426,0
45,6,428,0
45,7,430,0
45,8,425,0
45,9,431,0
45,10,429,0
66,1,621,1
66,2,623,1
66,3,622,0
66,4,624,0
66,5,629,0
66,6,628,0
66,7,627,0
66,8,625,0
66,9,626,0
66,10,630,0
67,1,637,1
67,2,633,0
67,3,634,1
67,4,635,0
67,5,632,0
67,6,636,0
67,7,639,0
67,8,631,0
67,9,638,0
67,10,640,0
77,1,727,1
77,2,731,0
77,3,725,0
77,4,728,0
77,5,729,0
77,6,726,0
77,7,730,0
102,1,959,0
102,2,964,0
102,3,961,0
102,4,963,0
102,5,965,0
102,6,966,0
102,7,958,0
102,8,957,0
102,9,962,0
102,10,960,0
103,1,968,1
103,2,973,0
103,3,967,0
103,4,972,0
103,5,974,0
103,6,969,1
103,7,970,0
103,8,975,0
103,9,971,0
103,10,976,0
114,1,1071,0
114,2,1070,0
114,3,1072,0
114,4,1068,0
114,5,1074,0
114,6,1073,1
114,7,1069,0
124,1,1164,0
124,2,1167,0
124,3,1168,1
124,4,1169,1
124,5,1163,0
124,6,1171,0
124,7,1166,0
124,8,1165,0
124,9,1170,0
124,10,1162,0
130,1,1222,0
130,2,1219,1
130,3,1221,0
130,4,1220,0
130,5,1223,0
130,6,1225,0
130,7,1224,0
145,1,1363,1
145,2,1359,0
145,3,1355,0
145,4,1361,0
145,5,1357,0
145,6,1362,0
145,7,1358,0
145,8,1354,0
145,9,1356,0
145,10,1360,0
152,1,1420,0
152,2,1423,0
152,3,1419,0
152,4,1424,0
152,5,1421,0
152,6,1418,0
152,7,1422,0
154,1,1437,1
154,2,1436,0
154,3,1443,1
154,4,1435,0
154,5,1441,0
154,6,1438,0
154,7,1442,0
154,8,1444,0
154,9,1440,0
154,10,1439,0
158,1,1479,0
158,2,1481,0
158,3,1473,0
158,4,1478,0
158,5,1477,0
158,6,1472,0
158,7,1475,0
158,8,1474,0
158,9,1480,0
158,10,1476,0
161,1,1500,0
161,2,1505,0
161,3,1499,0
161,4,1504,0
161,5,1502,0
161,6,1503,0
161,7,1501,0
165,1,1539,0
165,2,1541,0
165,3,1535,0
165,4,1534,0
165,5,1536,0
165,6,1538,0
165,7,1537,0
165,8,1540,0
165,9,1542,0
165,10,1533,0
178,1,1659,1
178,2,1656,1
178,3,1660,0
178,4,1658,1
178,5,1657,0
178,6,1652,0
178,7,1653,0
178,8,1655,0
178,9,1651,0
178,10,1654,0
185,1,1730,0
185,2,1728,1
185,3,1724,0
185,4,1725,0
185,5,1723,0
185,6,1721,1
185,7,1722,0
185,8,1729,0
185,9,1726,0
185,10,1727,0
216,1,2021,0
216,2,2016,0
216,3,2013,0
216,4,2020,0
216,5,2017,0
216,6,2018,0
216,7,2015,0
216,8,2014,0
216,9,2022,0
216,10,2019,0
224,1,2082,0
224,2,2087,1
224,3,2081,1
224,4,2083,0
224,5,2090,0
224,6,2084,0
224,7,2088,0
224,8,2089,0
224,9,2086,0
224,10,2085,0
230,1,2147,1
230,2,2142,0
230,3,2146,0
230,4,2141,0
230,5,2143,0
230,6,2144,0
230,7,2145,0
235,1,2191,1
235,2,2193,0
235,3,2186,0
235,4,2194,0
235,5,2189,0
235,6,2187,1
235,7,2188,0
235,8,2190,0
235,9,2192,0
235,10,2185,0
264,1,2459,0
264,2,2455,1
264,3,2460,0
264,4,2456,1
264,5,2458,1
264,6,2454,0
264,7,2457,0
272,1,2530,0
272,2,2537,0
272,3,2532,0
272,4,2536,0
272,5,2533,0
272,6,2528,0
272,7,2535,0
272,8,2534,0
272,9,2531,0
272,10,2529,0
283,1,2630,0
283,2,2629,1
283,3,2631,0
283,4,2633,1
283,5,2632,0
283,6,2635,0
283,7,2634,0
284,1,2639,0
284,2,2637,0
284,3,2636,0
284,4,2642,0
284,5,2638,0
284,6,2641,0
284,7,2640,0
289,1,2682,1
289,2,2680,0
289,3,2685,0
289,4,2684,0
289,5,2686,0
289,6,2687,0
289,7,2688,0
289,8,2681,0
289,9,2683,0
289,10,2689,0
295,1,2742,1
295,2,2745,1
295,3,2741,0
295,4,2738,0
295,5,2740,0
295,6,2737,0
295,7,2746,0
295,8,2743,0
295,9,2744,0
295,10,2739,0
296,1,2752,1
296,2,2747,0
296,3,2754,0
296,4,2750,0
296,5,2755,0
296,6,2748,0
296,7,2753,0
296,8,2749,0
296,9,2756,0
296,10,2751,0
304,1,2821,0
304,2,2822,0
304,3,2825,0
304,4,2827,0
304,5,2824,0
304,6,2823,0
304,7,2826,0
305,1,2834,1
305,2,2829,0
305,3,2830,0
305,4,2837,0
305,5,2831,0
305,6,2832,0
305,7,2835,1
305,8,2836,0
305,9,2833,0
305,10,2828,0
323,1,2996,0
323,2,2994,0
323,3,2993,0
323,4,2991,0
323,5,2992,0
323,6,2995,0
323,7,2990,0
325,1,3005,0
325,2,3004,0
325,3,3009,0
325,4,3010,0
325,5,3006,0
325,6,3007,0
325,7,3008,0
335,1,3098,0
335,2,3105,0
335,3,3101,0
335,4,3104,0
335,5,3100,0
335,6,3106,0
335,7,3099,0
335,8,3103,0
335,9,3107,0
335,10,3102,0
344,1,3177,0
344,2,3183,0
344,3,3184,0
344,4,3179,0
344,5,3176,0
344,6,3185,0
344,7,3180,0
344,8,3182,0
344,9,3181,0
344,10,3178,0
354,1,3270,1
354,2,3276,0
354,3,3275,0
354,4,3272,0
354,5,3274,0
354,6,3273,0
354,7,3271,0
360,1,3332,0
360,2,3329,0
360,3,3328,0
360,4,3330,0
360,5,3327,0
360,6,3324,0
360,7,3326,0
360,8,3333,0
360,9,3331,0
360,10,3325,0
366,1,3379,1
366,2,3378,0
366,3,3387,1
366,4,3382,0
366,5,3385,0
366,6,3381,0
366,7,3386,0
366,8,3384,0
366,9,3383,0
366,10,3380,0
370,1,3419,0
370,2,3418,0
370,3,3421,0
370,4,3415,0
370,5,3420,0
370,6,3417,0
370,7,3416,0
372,1,3434,0
372,2,3432,0
372,3,3440,1
372,4,3437,0
372,5,3439,0
372,6,3441,0
372,7,3435,0
372,8,3438,0
372,9,3436,0
372,10,3433,0
379,1,3503,0
379,2,3501,0
379,3,3499,1
379,4,3506,0
379,5,3508,0
379,6,3500,0
379,7,3505,0
379,8,3504,0
379,9,3507,0
379,10,3502,0
385,1,3564,0
385,2,3561,0
385,3,3560,0
385,4,3565,0
385,5,3556,0
385,6,3557,0
385,7,3563,0
385,8,3559,0
385,9,3558,1
385,10,3562,0
387,1,3582,1
387,2,3576,0
387,3,3583,0
387,4,3584,0
387,5,3581,0
387,6,3585,1
387,7,3579,0
387,8,3577,0
387,9,3578,0
387,10,3580,0
408,1,3779,0
408,2,3782,0
408,3,3778,0
408,4,3781,0
408,5,3780,0
408,6,3777,0
408,7,3783,0
409,1,3789,1
409,2,3788,0
409,3,3784,0
409,4,3785,0
409,5,3790,0
409,6,3787,0
409,7,3786,0
411,1,3807,0
411,2,3809,0
411,3,3801,0
411,4,3808,0
411,5,3804,1
411,6,3802,0
411,7,3810,0
411,8,3805,0
411,9,3803,0
411,10,3806,0
434,1,4024,0
434,2,4027,0
434,3,4022,0
434,4,4026,0
434,5,4021,0
434,6,4028,0
434,7,4019,0
434,8,4020,0
434,9,4023,0
434,10,4025,0
441,1,4090,1
441,2,4097,0
441,3,4098,0
441,4,4089,1
441,5,4095,0
441,6,4091,0
441,7,4092,0
441,8,4096,0
441,9,4094,0
441,10,4093,0
443,1,4114,1
443,2,4117,0
443,3,4109,1
443,4,4113,0
443,5,4118,0
443,6,4115,0
443,7,4110,0
443,8,4112,0
443,9,4116,0
443,10,4111,0
455,1,4221,0
455,2,4218,0
455,3,4222,1
455,4,4223,1
455,5,4226,0
455,6,4224,0
455,7,4219,0
455,8,4220,0
455,9,4225,0
455,10,4217,0
457,1,4246,1
457,2,4245,0
457,3,4238,0
457,4,4244,1
457,5,4243,0
457,6,4237,0
457,7,4239,0
457,8,4240,0
457,9,4241,0
457,10,4242,0
468,1,4349,1
468,2,4350,0
468,3,4346,0
468,4,4347,0
468,5,4343,0
468,6,4341,1
468,7,4348,0
468,8,4344,0
468,9,4342,0
468,10,4345,0
472,1,4387,1
472,2,4380,1
472,3,4384,0
472,4,4379,0
472,5,4381,0
472,6,4383,0
472,7,4385,0
472,8,4382,0
472,9,4378,0
472,10,4386,0
478,1,4444,0
478,2,4446,0
478,3,4440,0
478,4,4439,0
478,5,4443,1
478,6,4438,0
478,7,4442,0
478,8,4447,0
478,9,4441,0
478,10,4445,0
480,1,4460,0
480,2,4462,0
480,3,4463,0
480,4,4459,0
480,5,4461,0
480,6,4464,0
480,7,4458,0
485,1,4507,1
485,2,4508,0
485,3,4505,0
485,4,4511,0
485,5,4510,0
485,6,4509,0
485,7,4506,0
491,1,4570,0
491,2,4564,0
491,3,4563,0
491,4,4569,0
491,5,4566,0
491,6,4571,0
491,7,4567,0
491,8,4565,0
491,9,4568,0
491,10,4562,0
499,1,4648,0
499,2,4642,1
499,3,4651,0
499,4,4644,0
499,5,4649,0
499,6,4645,0
499,7,4650,1
499,8,4647,0
499,9,4643,0
499,10,4646,0
504,1,4692,0
504,2,4694,0
504,3,4699,1
504,4,4696,1
504,5,4697,0
504,6,4693,0
504,7,4695,0
504,8,4701,1
504,9,4698,0
504,10,4700,0
506,1,4718,0
506,2,4715,0
506,3,4712,0
506,4,4714,0
506,5,4716,0
506,6,4713,0
506,7,4717,0
507,1,4721,1
507,2,4725,0
507,3,4719,0
507,4,4723,0
507,5,4720,0
507,6,4728,0
507,7,4727,0
507,8,4726,0
507,9,4722,0
507,10,4724,0
552,1,5138,0
552,2,5136,0
552,3,5137,0
552,4,5134,0
552,5,5130,0
552,6,5133,0
552,7,5139,0
552,8,5132,0
552,9,5131,0
552,10,5135,0
555,1,5159,1
555,2,5162,0
555,3,5163,1
555,4,5165,0
555,5,5160,0
555,6,5157,0
555,7,5158,0
555,8,5164,0
555,9,5161,0
555,10,5166,0
559,1,5194,1
559,2,5199,0
559,3,5202,0
559,4,5201,0
559,5,5198,0
559,6,5200,1
559,7,5195,0
559,8,5197,0
559,9,5196,0
559,10,5203,0
563,1,5231,1
563,2,5229,1
563,3,5228,0
563,4,5233,0
563,5,5230,0
563,6,5237,0
563,7,5236,0
563,8,5232,1
563,9,5235,0
563,10,5234,0
578,1,5377,1
578,2,5373,0
578,3,5378,0
578,4,5370,0
578,5,5376,0
578,6,5372,0
578,7,5375,0
578,8,5371,0
578,9,5369,0
578,10,5374,0
582,1,5407,0
582,2,5406,1
582,3,5409,0
582,4,5410,0
582,5,5412,0
582,6,5411,0
582,7,5408,0
583,1,5418,1
583,2,5414,0
583,3,5413,1
583,4,5415,0
583,5,5422,0
583,6,5420,0
583,7,5416,0
583,8,5421,0
583,9,5419,0
583,10,5417,0
584,1,5430,0
584,2,5423,0
584,3,5424,0
584,4,5428,0
584,5,5431,0
584,6,5429,0
584,7,5427,0
584,8,5432,0
584,9,5425,0
584,10,5426,0
589,1,5471,1
589,2,5467,0
589,3,5473,0
589,4,5470,0
589,5,5474,1
589,6,5476,0
589,7,5469,0
589,8,5472,0
589,9,5468,0
589,10,5475,0
600,1,5576,0
600,2,5571,0
600,3,5579,0
600,4,5575,0
600,5,5573,0
600,6,5577,0
600,7,5574,0
600,8,5578,0
600,9,5572,0
600,10,5580,0
629,1,5844,1
629,2,5840,1
629,3,5843,1
629,4,5845,0
629,5,5846,0
629,6,5837,0
629,7,5839,0
629,8,5841,0
629,9,5838,0
629,10,5842,0
632,1,5869,1
632,2,5873,0
632,3,5870,0
632,4,5872,0
632,5,5865,0
632,6,5864,0
632,7,5868,0
632,8,5867,0
632,9,5866,0
632,10,5871,0
633,1,5875,0
633,2,5874,0
633,3,5878,0
633,4,5876,0
633,5,5879,0
633,6,5877,0
633,7,5880,0
634,1,5887,0
634,2,5883,0
634,3,5884,0
634,4,5886,0
634,5,5885,0
634,6,5882,0
634,7,5881,0
649,1,6016,0
649,2,6017,0
649,3,6014,0
649,4,6013,0
649,5,6019,1
649,6,6015,0
649,7,6018,0
653,1,6053,0
653,2,6052,1
653,3,6051,0
653,4,6048,0
653,5,6050,0
653,6,6047,0
653,7,6049,0
669,1,6200,1
669,2,6201,0
669,3,6206,0
669,4,6204,0
669,5,6202,0
669,6,6198,0
669,7,6205,0
669,8,6203,0
669,9,6199,0
669,10,6207,0
677,1,6281,1
677,2,6277,0
677,3,6278,0
677,4,6283,0
677,5,6282,0
677,6,6279,0
677,7,6275,0
677,8,6280,0
677,9,6284,0
677,10,6276,0
681,1,6322,1
681,2,6318,0
681,3,6324,0
681,4,6321,0
681,5,6323,0
681,6,6319,0
681,7,6316,0
681,8,6317,0
681,9,6315,0
681,10,6320,0
685,1,6354,0
685,2,6352,0
685,3,6355,0
685,4,6349,0
685,5,6350,0
685,6,6351,0
685,7,6353,0
688,1,6376,0
688,2,6378,1
688,3,6379,0
688,4,6381,0
688,5,6380,0
688,6,6382,0
688,7,6377,0
688,8,6385,0
688,9,6383,0
688,10,6384,0
695,1,6446,0
695,2,6449,1
695,3,6445,0
695,4,6443,0
695,5,6447,0
695,6,6448,0
695,7,6444,0
702,1,6512,0
702,2,6516,0
702,3,6513,0
702,4,6515,0
702,5,6518,0
702,6,6519,0
702,7,6514,0
702,8,6511,0
702,9,6510,0
702,10,6517,0
703,1,6528,1
703,2,6525,0
703,3,6522,1
703,4,6521,0
703,5,6520,0
703,6,6524,0
703,7,6529,0
703,8,6527,0
703,9,6523,0
703,10,6526,0
731,1,6797,1
731,2,6801,0
731,3,6800,0
731,4,6799,0
731,5,6802,0
731,6,6804,1
731,7,6798,0
731,8,6803,0
731,9,6805,0
731,10,6806,0
737,1,6848,1
737,2,6849,0
737,3,6857,0
737,4,6853,0
737,5,6854,0
737,6,6851,0
737,7,6856,0
737,8,6855,0
737,9,6850,0
737,10,6852,0
738,1,6867,1
738,2,6861,0
738,3,6859,1
738,4,6865,0
738,5,6864,0
738,6,6858,0
738,7,6866,0
738,8,6862,0
738,9,6863,0
738,10,6860,0
745,1,6928,0
745,2,6929,0
745,3,6926,0
745,4,6925,0
745,5,6927,0
745,6,6930,0
745,7,6931,0
752,1,6990,1
752,2,6992,0
752,3,6991,1
752,4,6998,0
752,5,6989,0
752,6,6994,0
752,7,6993,0
752,8,6996,0
752,9,6995,0
752,10,6997,0
776,1,7196,1
776,2,7199,0
776,3,7191,0
776,4,7194,0
776,5,7197,0
776,6,7195,1
776,7,7192,0
776,8,7190,0
776,9,7193,0
776,10,7198,0
783,1,7263,0
783,2,7266,1
783,3,7262,0
783,4,7264,0
783,5,7257,0
783,6,7265,0
783,7,7261,0
783,8,7259,0
783,9,7258,0
783,10,7260,0
784,1,7272,1
784,2,7275,0
784,3,7271,1
784,4,7276,0
784,5,7273,0
784,6,7274,0
784,7,7270,0
784,8,7269,0
784,9,7268,0
784,10,7267,0
798,1,7404,1
798,2,7399,0
798,3,7396,1
798,4,7403,0
798,5,7395,1
798,6,7400,0
798,7,7397,0
798,8,7402,0
798,9,7401,0
798,10,7398,0
834,1,7735,1
834,2,7739,0
834,3,7738,0
834,4,7740,0
834,5,7736,0
834,6,7743,0
834,7,7741,0
834,8,7737,0
834,9,7734,0
834,10,7742,0
880,1,8152,1
880,2,8155,0
880,3,8150,1
880,4,8154,1
880,5,8153,0
880,6,8157,0
880,7,8158,0
880,8,8149,0
880,9,8156,0
880,10,8151,0
895,1,8294,1
895,2,8295,0
895,3,8299,0
895,4,8302,0
895,5,8301,0
895,6,8300,0
895,7,8296,0
895,8,8293,0
895,9,8297,0
895,10,8298,0
899,1,8340,1
899,2,8342,1
899,3,8338,0
899,4,8334,0
899,5,8336,0
899,6,8339,0
899,7,8333,0
899,8,8341,0
899,9,8335,0
899,10,8337,0
920,1,8537,1
920,2,8534,0
920,3,8540,0
920,4,8531,0
920,5,8533,0
920,6,8536,0
920,7,8539,0
920,8,8532,0
920,9,8535,1
920,10,8538,0
936,1,8677,1
936,2,8676,0
936,3,8678,0
936,4,8685,1
936,5,8679,0
936,6,8682,0
936,7,8680,0
936,8,8681,0
936,9,8683,0
936,10,8684,0
945,1,8765,1
945,2,8771,0
945,3,8766,0
945,4,8768,0
945,5,8772,0
945,6,8763,0
945,7,8767,0
945,8,8769,0
945,9,8770,0
945,10,8764,0
973,1,9039,1
973,2,9034,0
973,3,9042,0
973,4,9041,0
973,5,9036,0
973,6,9043,0
973,7,9038,0
973,8,9040,0
973,9,9037,0
973,10,9035,0
976,1,9069,1
976,2,9066,0
976,3,9068,0
976,4,9063,0
976,5,9061,0
976,6,9062,0
976,7,9070,0
976,8,9065,0
976,9,9067,0
976,10,9064,0
991,1,9211,1
991,2,9215,0
991,3,9216,0
991,4,9212,0
991,5,9213,0
991,6,9209,0
991,7,9208,0
991,8,9217,0
991,9,9210,0
991,10,9214,0
999,1,9285,1
999,2,9286,0
