query_id,doc_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
3199,29504,1.358893,-1.541621,-1.433939,-0.052656,-1.058586,-2.116952,-2.039919,3.225940,1.454791,4.056700,1.081126,-0.774457
3199,29505,1.832267,-1.586147,-1.062834,-0.269215,-0.981728,-4.743290,-2.399408,2.545380,-0.132293,2.316957,0.960933,0.898129
3199,29506,2.888896,-2.343813,-1.519894,0.096907,-0.259156,-2.195490,-3.416483,2.664259,1.148707,3.003646,1.080563,-1.958635
3199,29507,1.516110,-2.000561,-5.063703,0.380051,-1.017556,-3.038302,-1.795634,3.372521,0.530443,2.876591,0.525153,-0.181864
3199,29508,0.699257,-1.533860,-2.360133,2.027325,0.407012,-2.909405,-2.637406,2.100477,0.445334,2.049808,0.299348,0.341209
3199,29509,2.175385,-1.439823,-2.711973,1.073160,-0.240307,-2.208474,-1.516861,0.222035,0.623998,3.376330,1.132848,-2.030950
3200,29510,1.327172,-3.568163,-2.751841,2.837800,-0.219279,-3.103411,-4.118000,1.256221,0.452550,3.035033,1.215519,0.539897
3200,29511,3.865765,-1.725342,-1.216832,0.620957,0.560622,-1.575713,-4.093106,1.586780,0.556279,1.695882,0.454834,-1.318309
3200,29512,1.547880,-1.707075,-3.574888,1.826989,-0.250762,-3.345238,-1.198815,3.410003,0.557451,3.179078,0.661744,0.232207
3200,29513,2.843075,-1.688541,-3.446424,0.083807,-1.473885,-3.873854,-2.953035,2.370904,0.361069,1.370452,2.320205,-1.155807
3200,29514,1.778200,-2.685236,-0.657972,1.023804,0.006202,0.217779,-2.451215,0.913548,0.556430,3.763039,1.065950,-1.478001
3200,29515,2.126650,-1.755747,-2.095606,0.921012,-0.574858,-2.606162,-2.085348,1.260671,-0.432979,3.528131,-0.434306,-0.565505
3200,29516,3.236781,-2.851188,-1.401048,5.171768,0.822972,-5.866184,-2.458957,1.393642,0.898482,3.284348,1.001306,0.043030
3201,29517,219.781814,0.441066,-2.550433,148.046994,-3.688259,-1637.286827,-0.881941,98.179699,95.453939,4.428937,1.399527,0.747620
3201,29518,169.109066,0.006694,-0.816922,-82.110674,-3.006114,-769.667996,0.169562,296.691218,17.666879,4.370127,0.518600,-0.848398
3201,29519,226.797085,0.369501,-2.559342,325.951998,-3.208412,-861.133076,-2.137431,231.643747,-13.095373,4.945162,1.254321,-1.069136
3201,29520,86.535390,0.189083,-1.756542,68.575195,-3.002048,-349.308125,-2.025487,175.674673,-156.249026,3.177438,1.483936,-0.706363
3201,29521,175.953687,-0.194342,-2.368827,270.963421,-3.178521,-829.605764,-4.151474,175.228879,91.215678,4.648703,0.068639,-1.249549
3201,29522,72.933622,-1.224548,-2.216026,98.418839,-1.570528,-1225.096730,-3.449491,246.398978,215.341818,4.055274,0.147110,-0.871836
3201,29523,244.076631,0.257170,-2.021317,240.663160,-2.799114,-1156.685250,-2.187171,352.198364,-91.558923,2.979654,1.129406,0.074967
3201,29524,208.367929,0.642465,-4.401512,-235.067961,-3.428346,-450.663541,-1.202591,200.979825,105.947466,4.344220,-0.223020,-0.041199
