query_id,doc_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
1596,14752,3.358837,-2.594101,-2.987195,-1.241402,-0.115620,-2.289100,-2.584326,2.926112,-0.049783,2.547135,1.757995,-0.892192
1596,14753,3.826170,-1.123539,-1.713582,2.458214,-0.445232,-2.889539,-1.209668,2.298326,0.457167,1.650632,0.796670,-0.172302
1596,14754,4.617784,-2.266294,-2.427806,-0.339999,-0.030857,-2.436776,-3.395108,3.155310,0.521261,3.194808,1.164759,0.981481
1597,14755,146.859036,-0.357133,-5.090238,129.615059,-3.066203,-152.885170,-4.082852,295.256576,50.805695,5.265321,1.427132,0.028034
1597,14756,234.962324,0.548532,-3.516866,2.127429,-2.908828,-822.152338,-2.806267,197.370144,84.061841,3.672366,0.602978,0.154611
1597,14757,223.470885,-0.216818,-3.081034,179.154000,-3.276013,-889.082388,-3.768038,61.247777,3.701580,4.417359,1.203361,0.163517
1597,14758,173.036620,-0.923112,-4.048926,-167.321779,-3.268487,-890.281159,-0.386051,352.035489,240.828519,4.278173,0.142781,1.016668
1597,14759,191.718235,-0.643638,-2.250825,293.076087,-2.428480,-233.092283,-4.200728,253.385739,-83.940748,5.334450,0.156591,0.432067
1597,14760,68.776792,0.324662,-2.628095,-17.463528,-4.664584,-331.590698,-1.428759,372.132838,115.031697,4.748183,1.188844,-2.515231
1597,14761,174.037904,-0.612766,-2.055000,6.874281,-3.927900,-463.912097,-1.830888,196.947830,126.549963,3.671198,0.519165,-3.131258
1598,14762,3.480589,-3.128919,-1.589374,3.022866,-0.984264,-3.478981,-2.078767,1.792018,2.028387,3.578747,0.901310,0.092633
1598,14763,1.498757,-2.276769,-1.046301,-0.543088,-1.367653,-1.391855,-3.687403,2.416254,0.268087,2.270560,1.159310,-0.524895
1598,14764,2.589396,-2.612432,-1.470951,0.451275,-0.608094,0.060317,-5.479052,1.834101,0.227069,3.315428,1.164676,-2.368579
1598,14765,4.130647,-1.419122,-2.395836,3.778086,-0.651770,-3.945396,-1.504745,3.901250,1.550543,2.462156,1.224553,-0.609051
1598,14766,4.092067,-1.986788,-2.435449,0.968541,-0.967378,-0.321841,1.260900,2.318322,-0.114099,2.980346,1.274819,-0.607065
1598,14767,2.581261,-1.689288,-1.895784,1.858061,-1.336957,-3.825576,-3.880450,1.973146,0.631847,2.586221,0.827971,-1.173604
1598,14768,2.542967,-2.352892,-0.897559,-0.584414,0.242899,-3.007652,-1.943722,3.335322,0.552899,2.984392,0.727021,-2.316055
1598,14769,1.890069,-0.628260,-0.533584,-0.963927,-1.034771,-1.763077,-2.827777,3.386295,0.688623,4.154625,1.333210,-2.540521
1598,14770,1.754507,-1.653120,-1.375819,2.828799,-1.087237,1.983542,-3.096524,0.652828,-0.257027,2.667328,0.149728,0.099403
1598,14771,2.979363,-2.311114,-3.741883,1.188390,-1.357094,-0.090271,-1.398425,1.526646,-0.626110,2.193255,0.943115,0.336344
1599,14772,130.199820,-0.347573,-2.966561,49.232472,-3.089800,-466.646633,-0.658157,386.941087,266.053181,4.652034,0.425281,-0.383819
1599,14773,194.547285,-0.276938,-2.511096,422.172745,-3.111061,-300.330041,-2.828059,282.330479,230.953420,3.663867,0.781718,0.930902
1599,14774,106.964778,-0.326789,-1.156579,-430.038678,-4.302143,-262.257076,-2.138636,176.195538,181.259484,4.675170,0.393081,0.153627
1599,14775,147.224042,-0.546334,-2.207752,-270.451968,-3.156435,-112.729465,-1.063594,293.674148,32.188702,4.708356,1.130590,-0.092186
1599,14776,171.397902,-0.798114,-2.942854,358.158318,-4.101053,-686.512589,-2.479084,175.640408,-80.188915,2.506022,1.486852,-1.109491
1599,14777,91.136806,0.817695,-2.080852,-184.756400,-2.933024,-1124.777358,-0.504936,105.304814,-25.152670,4.453831,0.726494,1.088770
1599,14778,178.048290,-1.723109,-2.255956,125.134950,-4.737492,-735.554491,-4.103763,351.233931,216.356395,4.322982,0.958524,-1.082749
1599,14779,190.512384,0.425771,-4.049874,109.068544,-3.743217,103.005988,-2.796812,256.198212,-18.531708,3.993748,0.677091,-0.503897
1599,14780,285.848683,1.033908,-0.601095,47.796743,-3.030490,345.509023,-2.393498,195.039336,120.550048,4.426262,1.482533,-0.550070
1599,14781,260.774552,-0.492603,-3.021568,224.142799,-2.553953,-341.169338,-3.117774,278.021496,218.001066,3.436789,1.151173,1.201983
1600,14782,191.390421,-0.045061,-3.109620,308.903209,-4.049160,-198.198983,-3.029145,202.748600,-184.049491,4.077079,1.426725,-2.512385
1600,14783,128.334644,0.294589,-3.256418,-374.985900,-3.015209,-1338.608327,-3.112940,307.806171,-95.146151,3.293017,0.151571,0.200197
1600,14784,116.475422,-2.025398,-3.982279,140.445578,-4.168373,-1198.768738,-1.637249,284.286032,57.788252,2.804287,1.327072,-1.213069
1600,14785,117.303131,-0.299144,-4.716209,-113.875807,-3.790945,-755.300057,-2.082293,138.327969,181.688495,3.948906,0.712867,-1.188597
1600,14786,59.150845,0.978163,-4.069981,300.581827,-3.346224,-637.442326,-1.509288,337.007066,340.439345,4.469688,-0.241862,0.922059
1600,14787,105.760523,-1.190492,-3.390073,451.333429,-3.494035,-821.988437,-1.839553,277.058578,77.884667,5.470869,1.094688,-2.855410
1600,14788,167.465533,0.863794,-1.749939,308.046996,-2.267746,38.330876,-0.920567,298.836036,70.299001,4.106793,1.117635,-1.754929
1601,14789,104.294255,-1.549007,-2.164080,62.742998,-3.633993,-8.525829,-4.105832,53.308727,28.890803,3.939403,1.309172,-0.921588
1601,14790,49.458488,-1.430023,-1.264118,508.752329,-3.011701,-1006.834389,-1.438346,201.492758,246.904396,3.190499,0.678713,2.301825
1601,14791,384.981313,-0.011844,-3.516687,204.526396,-2.765203,-856.753020,-2.067069,415.529295,95.922166,3.114225,0.119571,0.680672
1601,14792,115.635136,-0.608210,-3.087646,10.782364,-2.456064,-166.681394,-0.064594,401.784771,-19.179939,4.522708,0.700907,1.157625
1601,14793,90.729869,0.110277,-3.479378,225.885380,-3.393696,-1404.005914,-2.117279,208.327863,45.785111,3.193386,0.406261,0.336076
1601,14794,298.705914,0.367333,-2.067176,-62.901490,-3.450101,-1343.198742,-3.940626,227.046115,171.805894,4.558845,1.315696,0.781774
1601,14795,250.268831,0.149499,-4.208013,-18.364360,-3.059769,-867.748694,-0.293596,211.249052,-53.775492,4.596213,-0.155531,-0.735026
1601,14796,267.565916,0.147406,-2.683782,164.858734,-5.388985,-788.217020,-3.827720,286.020832,38.947019,4.260912,1.115104,1.515763
1601,14797,90.737889,-0.665967,-4.331948,-141.480070,-2.077073,-192.890541,-1.984499,253.184803,122.779291,4.305154,-0.019256,-1.348942
1601,14798,246.782371,0.652907,-4.834417,269.344416,-2.133182,-365.561279,-3.954331,186.712233,178.435623,4.017784,1.701771,0.835401
1602,14799,198.369818,-1.526672,-2.212449,228.463207,-3.238678,-837.962845,-1.404809,360.882172,209.647532,3.702833,0.522441,-0.009169
1602,14800,179.044254,0.239945,-2.827704,71.232911,-3.508893,-525.991011,-2.384226,271.490180,82.459588,3.668985,2.024409,0.722249
1602,14801,233.915404,-0.432941,-3.132778,75.746951,-3.924193,-10.530837,-2.402218,110.114449,150.673052,3.079671,0.959054,1.586868
1602,14802,116.712774,-1.557100,-3.764053,433.466174,-3.375962,-886.391669,-3.665171,341.183830,200.578048,4.269066,0.873086,-0.726386
1602,14803,234.301154,-0.689663,-1.634912,149.966168,-3.340377,-615.285833,-2.840455,152.120834,-93.470333,4.786141,0.684468,-0.797004
