case_id,cluster,exposure_weight,stress_score
public-008,52,0.64641200851519354,0.60002092049682532
public-008,24,0.93549811279217199,-0.97848184723649467
public-001,24,0.96464754674296627,0.28455469890547269
public-006,38,0.5183267323233145,-0.3858128733416914
public-008,45,1.2029713791896852,1.0395827814586105
public-007,31,1.270209570267137,-1.132508835687936
public-005,17,1.1206124610286388,0.7947094860102133
public-006,45,0.98387879776757603,0.82483321354472716
public-007,17,1.3892813390401513,0.46744801508263994
public-004,45,0.69216045998640507,0.36023448443448336
public-001,59,1.1312764924287726,1.0336698424460138
public-007,59,0.96835069307523181,-0.13923259610432448
public-003,38,1.0721773989216856,-1.2325002138164458
public-003,59,1.3859744291716216,0.66655395610838275
public-010,45,0.54373412329359327,0.94336918978610229
public-005,31,0.95215003212323146,-1.3920656077321363
public-007,45,1.0777970395884253,0.96924731132123465
public-007,38,0.69377520818741434,-0.056868416188001994
public-007,52,0.55671096148560983,0.78976005729404053
public-001,52,0.69756451975177081,0.83973384988017052
public-008,31,1.3980898331055502,-0.90764527884834201
public-005,52,1.2321499616809324,1.0372374519919019
public-009,52,0.82227690744235271,0.38363676187731116
public-003,17,0.78851423683173516,0.9304249551478746
public-005,45,0.83857380966765493,0.61680447475823064
public-010,59,1.4121996539831898,-0.37055691713233285
public-005,59,0.65012634030146665,0.23461209160908766
public-003,31,0.70619431781574027,-1.3444863368515241
public-010,17,0.82863946749848372,-0.17027612907109418
public-006,17,1.2663002343874483,0.6502293373497281
public-009,17,0.65184380884526272,0.041773474839352787
public-002,38,0.93628212791666443,-1.3996792170546888
public-002,31,0.54553321066763583,-1.2062677986493038
public-008,38,0.81594329228398577,0.25648772443128998
public-009,24,1.1280777418144035,-0.99943203162914751
public-006,52,1.3852223351865631,0.93910601456800791
public-001,38,0.84241049923433953,-1.4851488734961271
public-001,17,0.54619192067826228,0.83597215636977451
public-001,31,1.4063731427563841,-1.0033112574327994
public-002,52,0.80993708405007436,0.97457996235712985
public-008,17,0.55424884197540647,0.25960952614253635
public-006,59,0.84167940634463378,0.032988999264616146
public-009,31,0.51374132623165025,-0.63968137142915993
public-003,45,0.56920870421971004,0.073713844111168894
public-004,24,1.3804974645543451,-0.37504838838904087
public-004,52,1.0711022718636041,1.0770439415333337
public-001,45,1.2657623317849365,-0.50547041667250503
public-009,59,1.2036745149980614,-0.34859039987211082
public-004,17,0.92274677492203383,0.89041968850631059
public-010,52,0.98334703001866819,0.1562863896503085
public-002,17,0.66188927137897202,0.91182657603277106
public-010,38,1.0780237653007869,0.74838884063416855
public-010,24,1.2705334465409028,-0.95917807609258121
public-010,31,0.68637851770300817,-0.34803329777457082
public-006,31,1.0630387968100135,-1.2979788317393899
public-005,38,1.4112645395285228,-0.70651092137360327
public-004,31,0.79692475222855197,-1.4079518045500941
public-005,24,0.51863477322033547,-0.58478697526369394
public-006,24,0.66948691398909577,-0.76336585964599779
public-004,59,0.57354506284445483,0.45102743311393623
public-002,24,1.1076474228889954,0.075962156465140707
public-003,24,1.2330069693684684,-0.14934738102194589
public-009,45,1.4116225598520777,1.0307432418833322
public-004,38,1.2615124933452071,-0.99572535464892908
public-008,59,1.1065948790690505,-0.26957382644442557
public-007,24,0.85000345992626869,-0.89784553571765235
public-003,52,0.95087237690594917,1.0556411763224895
public-009,38,0.96876057597248233,0.53155032433042193
public-002,45,1.4114985269209606,-0.22199667426854336
public-002,59,1.2226267039870857,0.86557499511749425
