case_id,from_state,to_state,prior_mass,prior_value
public-010,S09_00,S09_02,2.9072006246622313,0.33335284777460034
public-006,S05_04,S05_05,7.4395997979129067,0.39783050796095809
public-009,S08_06,S08_01,2.9895672061550211,0.37173924585044898
public-009,S08_01,S08_02,7.2788181575440358,0.41905345871016003
public-008,S07_05,S07_04,7.7913224397593597,0.30943428662527955
public-010,S09_03,S09_00,1.0142020078003005,0.33398791036305531
public-003,S02_02,S02_01,0.96854448320990749,0.40803492965028521
public-001,S00_05,S00_02,0.96713023431731182,0.36619795513101533
public-010,S09_04,S09_02,1.0124058594734642,0.37361336294613129
public-005,S04_02,S04_04,3.1110457124967805,0.27377388247314771
public-002,S01_02,S01_04,3.2766513140673119,0.31068166965984589
public-005,S04_05,S04_06,7.246382332968329,0.26001804551415914
public-009,S08_02,S08_02,3.8331690617204628,0.46198203403626864
public-009,S08_02,S08_06,0.96565437619106764,0.37361336294613118
public-004,S03_05,S03_03,4.0363063537755783,0.41725262212394226
public-004,S03_00,S03_03,1.1428238445886179,0.31008986681358114
public-009,S08_03,S08_02,1.0450120623956485,0.26043579294368091
public-003,S02_05,S02_04,1.0343320011750949,0.38569574957279912
public-007,S06_01,S06_05,1.0035929055099346,0.29647831112885042
public-007,S06_01,S06_03,3.2874693351834599,0.41525844453438188
public-008,S07_04,S07_02,3.972882740416285,0.34268984377769096
public-009,S08_06,S08_06,3.9642748867421429,0.52509389900056846
public-008,S07_01,S07_00,7.3799233235303507,0.29594515659218901
public-008,S07_05,S07_03,4.0184327092743537,0.37891189510830398
public-004,S03_03,S03_05,1.0081814567493228,0.35852078600812298
public-007,S06_02,S06_01,0.99048597772853852,0.41759118486760693
public-007,S06_01,S06_02,7.7605849355725454,0.40803492965028521
public-004,S03_02,S03_05,1.0129519321360356,0.26043579294368091
public-009,S08_06,S08_03,0.92607857237931057,0.26127479959346855
public-009,S08_06,S08_00,7.2081501374246546,0.41725262212394221
public-005,S04_06,S04_03,1.0218178461827652,0.2953558182970577
public-003,S02_03,S02_05,2.9891633535875037,0.34268984377769096
public-009,S08_00,S08_04,0.9803319383950081,0.41988346762996842
public-010,S09_03,S09_03,3.8717860669931676,0.43134165742105385
public-006,S05_05,S05_04,1.0761491290049943,0.34063705470287503
public-002,S01_00,S01_03,0.98602883141687558,0.28355677395436868
public-004,S03_04,S03_00,1.0629838290640949,0.29647831112885042
public-006,S05_00,S05_00,4.0316427415524725,0.42459836453641181
public-010,S09_01,S09_02,7.884653964481843,0.4199153073471818
public-010,S09_00,S09_04,0.99428698344712574,0.41914865972987059
public-004,S03_03,S03_00,1.1146521220044261,0.4121737467005035
public-009,S08_05,S08_04,0.89471739555370222,0.2953558182970577
public-005,S04_04,S04_02,0.97316508387553391,0.29707416655996521
public-002,S01_04,S01_05,7.3890037332975913,0.41994475109983342
public-004,S03_00,S03_04,3.9920441252159056,0.37952906809108872
public-005,S04_06,S04_05,1.0005838530365647,0.28549489875556
public-004,S03_01,S03_01,3.0523632519011863,0.42283182564689947
public-007,S06_03,S06_00,1.0557055454426303,0.38008166851663078
public-001,S00_04,S00_05,7.1779060371666992,0.4177606001115981
public-002,S01_05,S01_01,3.0443909047106894,0.31134165742105374
public-004,S03_02,S03_04,1.0322626150293286,0.28401002499251665
public-005,S04_02,S04_02,3.5689967455303524,0.51875176782992916
public-007,S06_03,S06_04,8.1207783112834449,0.33469424821190397
public-009,S08_05,S08_06,7.1328697785765431,0.28549489875556
public-009,S08_01,S08_00,0.97045871961590202,0.31008986681358114
public-010,S09_05,S09_03,1.0993923517422319,0.34862029218395557
public-006,S05_02,S05_02,3.7714572461881382,0.50679337543134095
public-007,S06_00,S06_05,0.99626025144609609,0.4121737467005035
public-009,S08_04,S08_00,0.94619782786645557,0.26000078347594374
public-005,S04_01,S04_00,1.0098283800602534,0.26593482541378144
public-003,S02_05,S02_01,3.3637392344510988,0.3267516659641353
public-004,S03_03,S03_02,7.6857976627703941,0.28999434808856944
public-005,S04_00,S04_06,0.87434317121114324,0.38679337543134096
public-008,S07_02,S07_03,1.1255118000870152,0.28999434808856944
public-007,S06_03,S06_02,1.0015915137282307,0.26346919869838498
public-006,S05_04,S05_01,1.0420552030489736,0.2636784600078329
public-001,S00_01,S00_00,1.0525241073071481,0.26670672506004361
public-003,S02_00,S02_03,1.1139919201365927,0.29594515659218901
public-010,S09_04,S09_04,3.9117474445428897,0.52306016539002531
public-003,S02_00,S02_05,1.0623830627110544,0.41503999814197917
public-006,S05_03,S05_02,1.0369845336430461,0.26962433920226642
public-009,S08_00,S08_01,7.6543313648196731,0.26593482541378144
public-003,S02_00,S02_04,1.1444528101416931,0.36492330908107029
public-008,S07_02,S07_02,3.2490296027869836,0.4778311931280198
public-001,S00_03,S00_05,2.839145520756297,0.31134165742105374
public-006,S05_05,S05_05,4.2501763346649195,0.39773183371725612
