key,value
residual_sigma_threshold,2.300000000000
run_bias_sigma_threshold,2.050000000000
combined_rms_max,0.340000000000
longitudinal_rms_max,0.460000000000
hall_rms_max,0.200000000000
residual_p90_max,0.340000000000
min_clean_fraction,0.975000000000
reference_temperature_k,300.000000000000
max_charge_imbalance,0.020000000000
total_density_min_1e22_m3,10.120000000000
total_density_max_1e22_m3,10.560000000000
min_conductivity_share,0.077704618497
min_mobility_ratio,1.720000000000
max_activation_step_mev,7.600000000000
max_field_scale_step,0.006000000000
max_mean_longitudinal_offset_uohm_m,0.350000000000
max_mean_hall_offset_uohm_m,0.350000000000
output_decimals,6.000000000000
